0.004	0.205	0.351	86.736	86.624	86.939	0.000
0.009	0.212	0.341	86.736	86.490	86.972	0.000
0.009	0.208	0.334	86.736	86.490	86.939	0.000
0.021	0.201	0.320	86.736	86.524	86.872	0.000
0.036	0.190	0.310	86.736	86.490	86.905	0.000
0.039	0.194	0.276	86.736	86.490	86.838	0.000
0.048	0.190	0.262	86.769	86.423	86.838	0.000
0.051	0.201	0.259	86.736	86.457	86.771	0.000
0.063	0.198	0.238	86.736	86.423	86.738	0.000
0.060	0.198	0.242	86.769	86.390	86.637	0.000
0.057	0.194	0.235	86.802	86.289	86.537	0.000
0.057	0.194	0.228	86.769	86.323	86.470	0.000
0.042	0.194	0.238	86.769	86.256	86.436	0.000
0.033	0.201	0.252	86.736	86.356	86.436	0.000
0.036	0.201	0.249	86.802	86.256	86.403	0.000
0.048	0.205	0.262	86.769	86.323	86.503	0.000
0.051	0.201	0.269	86.736	86.356	86.436	0.000
0.057	0.205	0.273	86.736	86.323	86.436	0.000
0.057	0.194	0.269	86.769	86.289	86.470	0.000
0.045	0.201	0.259	86.703	86.256	86.503	0.000
0.033	0.187	0.249	86.736	86.222	86.436	0.000
0.021	0.183	0.228	86.736	86.189	86.436	0.000
0.009	0.190	0.232	86.736	86.122	86.503	0.000
0.004	0.183	0.221	86.736	86.155	86.503	0.000
-0.008	0.187	0.221	86.736	86.088	86.503	0.000
-0.014	0.194	0.225	86.736	86.088	86.503	0.000
-0.014	0.180	0.225	86.703	86.088	86.436	0.000
-0.005	0.187	0.238	86.703	86.055	86.436	0.000
0.006	0.190	0.249	86.703	86.055	86.336	0.000
0.030	0.180	0.266	86.736	85.988	86.403	0.000
0.048	0.176	0.266	86.769	85.954	86.370	0.000
0.063	0.180	0.266	86.736	85.921	86.269	0.000
0.084	0.180	0.269	86.802	85.954	86.236	0.000
0.105	0.180	0.269	86.736	85.887	86.202	0.000
0.126	0.183	0.255	86.736	85.954	86.202	0.000
0.141	0.183	0.255	86.736	85.954	86.135	0.000
0.150	0.194	0.228	86.769	85.921	86.169	0.000
0.147	0.201	0.228	86.802	85.820	86.068	0.000
0.144	0.208	0.221	86.802	85.921	86.102	0.000
0.155	0.194	0.221	86.736	85.887	86.068	0.000
0.158	0.194	0.221	86.736	85.854	86.102	0.000
0.150	0.194	0.228	86.736	85.887	86.068	0.000
0.141	0.194	0.235	86.736	85.887	86.169	0.000
0.117	0.201	0.252	86.736	85.921	86.102	0.000
0.117	0.194	0.266	86.703	85.854	86.169	0.000
0.129	0.187	0.286	86.736	85.854	86.102	0.000
0.153	0.194	0.297	86.736	85.753	86.202	0.000
0.194	0.183	0.303	86.736	85.854	86.169	0.000
0.212	0.187	0.303	86.736	85.753	86.135	0.000
0.227	0.187	0.290	86.736	85.820	86.236	0.000
0.230	0.183	0.273	86.736	85.787	86.068	0.000
0.221	0.194	0.249	86.769	85.787	86.035	0.000
0.227	0.201	0.235	86.869	85.753	86.001	0.000
0.224	0.212	0.221	86.968	85.787	86.035	0.000
